exempi 2.5.2-1
exfat-utils 1.3.0-2
exiv2 0.27.5-1
expac 10-5
expat 2.4.1-1
expect 5.45.4-2
extra-cmake-modules 5.88.0-1
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.26-1
fasd 1.0.1-3
fd 8.3.0-1
feh 3.7.2-1
ffmpeg 2:4.4.1-1
fftw 3.3.10-1
file 5.41-1
file-roller 3.40.0-1
filesystem 2021.11.11-1
findutils 4.8.0-1
fio 3.28-2
firefox 94.0.2-2
fish-git 2:3.3.1.r396.gcb5a3fd9a-1
five-or-more 3.32.2-1
flac 1.3.3-3
flake8 1:4.0.1-1
flameshot 0.10.2-1
flashrom 1.2-2
flatpak 1.12.2-1
flatpak-builder 1.2.0-1
flex 2.6.4-3
fltk 1.3.7-1
fluidsynth 2.2.4-1
fmt 8.0.1-2
folks 0.15.3+6+gdb1de866-1
fontconfig 2:2.13.94-1
fontforge 20201107-1
foomatic-db-engine 4:20200206-1
four-in-a-row 3.38.1-1
fprintd 1.94.1-1
freeglut 3.2.1-2
freerdp 2:2.4.1-2
freetype2 2.11.1-1
frei0r-plugins 1.7.0-1
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
fwupd 1.7.2-1
fwupd-efi 1.1-1
fzf 0.28.0-1
gavl 1.4.0-5
gawk 5.1.1-1
gc 8.2.0-2
gcab 1.4-1
gcc 11.1.0-1
gcc-libs 11.1.0-1
gconf 3.2.6+11+g07808097-10
gcr 3.41.0-1
gd 2.3.3-3
gdbm 1.22-1
gdk-pixbuf2 2.42.6-2
gdl 3.40.0-1
gdm 41.0+r15+g23ebe617-1
gdu-bin 5.11.0-1
gedit 40.1-1
gegl 0.4.32-2
gendesk 1.0.8-1
genhupo 0.0.1-2
geoclue 2.5.7-4
geocode-glib 3.26.2-1
geoip 1.6.12-2
geoip-database 20211123-1
geoipupdate 4.8.0-1
gettext 0.21-1
gfbgraph 0.2.5-1
ghc-libs 9.0.1-5
ghex 3.41.1-1
ghostpcl 9.55.0-2
ghostscript 9.55.0-2
ghostxps 9.55.0-2
giflib 5.2.1-2
gimp 2.10.28-1
git 2.34.1-1
git-lfs 3.0.2-1
gjs 2:1.70.0-1
gksu 2.0.2-6
glade 3.38.2-1
glew 2.2.0-2
glew1.10 1.10.0-3
glib-networking 1:2.70.0-1
glib2 2.70.1-1
glib2-docs 2.70.1-1
glibc 2.33-5
glibmm 2.66.2-1
glm 0.9.9.8-1
glslang 11.7.1-2
glu 9.0.2-1
glusterfs 1:10.0-2
gmime3 3.2.7-1
gmp 6.2.1-1
gn 0.1938.0153d369-1
gn-m85 0.1792.7d7e8dee-1
gnome-autoar 0.4.1-1
gnome-backgrounds 41.0-1
gnome-bluetooth 3.34.5-2
gnome-books 40.0-1
gnome-boxes 41.2-1
gnome-builder 41.2-2
gnome-calculator 41.0-1
gnome-calendar 41.1-1
gnome-characters 41.0-1
gnome-chess 41.1-1
gnome-clocks 41.0-1
gnome-code-assistance 2:3.16.1+14+gaad6437-1
gnome-color-manager 3.36.0-1
gnome-common 3.18.0-4
gnome-contacts 41.0-2
gnome-control-center 41.2-1
gnome-desktop 1:41.1-1
gnome-devel-docs 40.3-1
gnome-dictionary 40.0-1
gnome-disk-utility 41.0-1
gnome-documents 3.34.0+34+g678141fa-1
gnome-epub-thumbnailer 1.6-2
gnome-font-viewer 41.0-1
gnome-keyring 1:40.0-1
gnome-klotski 3.38.2-1
gnome-logs 3.36.0-1
gnome-mahjongg 3.38.3-1
gnome-maps 41.2-1
gnome-menus 3.36.0-1
gnome-mines 40.0-1
gnome-multi-writer 3.32.1-2
gnome-music 1:41.0-1
gnome-nettool 3.8.1+205+g8550eef-3
gnome-nibbles 3.38.2-1
gnome-online-accounts 3.40.1-1
gnome-online-miners 3.34.0-2
gnome-photos 40.0+14+g884b1fd1-1
gnome-recipes 2.0.4-2
gnome-remote-desktop 41.1-1
gnome-robots 40.0-1
gnome-screenshot 41.0-1
gnome-session 40.1.1-1
gnome-settings-daemon 41.0-1
gnome-shell 1:41.1-1
gnome-shell-extension-pop-shell-git r808.b3595b2-1
gnome-shell-extensions 41.0-1
gnome-software 41.2-1
gnome-sound-recorder 40.0-1
gnome-sudoku 40.2-1
gnome-system-monitor 41.0-1
gnome-taquin 3.38.1-1
gnome-terminal 3.42.2-1
gnome-tetravex 3.38.2-1
gnome-themes-extra 3.28-2
gnome-todo 41.0-1
gnome-tweaks 40.0-1
gnome-usage 3.38.1-1
gnome-user-docs 41.1-1
gnome-user-share 3.34.0-2
gnome-video-effects 0.5.0+4+g9554041-2
gnome-weather 41.0-1
gnu-netcat 0.7.1-8
gnupg 2.2.32-2
gnuplot 5.4.2-1
gnutls 3.7.2-2
go 2:1.17.4-1
go-md2man 2.0.1-1
gobject-introspection 1.70.0-2
gobject-introspection-runtime 1.70.0-2
gom 0.4-3
google-chrome 96.0.4664.45-1
google-chrome-beta 97.0.4692.36-1
google-chrome-dev 98.0.4736.0-1
google-cloud-sdk 365.0.1-1
gparted 1.3.1-1
gpaste 3.42.2-1
gperf 3.1-3
gperftools 2.9.1-1
gpgme 1.16.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
gradle 7.3.1-1
graphene 1.10.6-1
graphicsmagick 1.3.36-3
graphite 1:1.3.14-1
graphviz 2.49.3-1
grep 3.7-1
grilo 0.3.14-1
grilo-plugins 1:0.3.14-1
grim 1.3.2-1
groff 1.22.4-6
gsettings-desktop-schemas 41.0-1
gsfonts 20200910-2
gsl 2.7-1
gsm 1.0.19-1
gsmartcontrol 1.1.3-3
